_id,open_time,open_price,high_price,low_price,close_price,volume,close_time,symbol,updated_at,created_at,label,avg_price,percentage_change,previous_avg_price,previous_price_change,price_range
688fd8eea44632e5770d6833,2017-08-18 00:00:00,4285.08000000,4371.52000000,3938.77000000,4108.37000000,1199.88826400,2017-08-18 23:59:59,BTCUSDT,2025-08-06T20:51:10.533Z,2025-08-03T21:47:26.801Z,1,4175.935,-0.041238436621953395,4308.172500000001,0.0055379821095019495,432.75000000000045
688fd8eea44632e5770d6834,2017-08-19 00:00:00,4108.37000000,4184.69000000,3850.00000000,4139.98000000,381.30976300,2017-08-19 23:59:59,BTCUSDT,2025-08-06T20:51:10.539Z,2025-08-03T21:47:26.802Z,1,4070.7599999999993,0.007694048978061779,4175.935,-0.041238436621953395,334.6899999999996
688fd8eea44632e5770d6835,2017-08-20 00:00:00,4120.98000000,4211.08000000,4032.62000000,4086.29000000,467.08302200,2017-08-20 23:59:59,BTCUSDT,2025-08-06T20:51:10.540Z,2025-08-03T21:47:26.802Z,1,4112.7425,-0.008417900596459969,4070.7599999999993,0.007694048978061779,178.46000000000004
688fd8eea44632e5770d6836,2017-08-21 00:00:00,4069.13000000,4119.62000000,3911.79000000,4016.00000000,691.74306000,2017-08-21 23:59:59,BTCUSDT,2025-08-06T20:51:10.541Z,2025-08-03T21:47:26.803Z,1,4029.135,-0.013056845074991486,4112.7425,-0.008417900596459969,207.82999999999993
688fd8eea44632e5770d6837,2017-08-22 00:00:00,4016.00000000,4104.82000000,3400.00000000,4040.00000000,966.68485800,2017-08-22 23:59:59,BTCUSDT,2025-08-06T20:51:10.542Z,2025-08-03T21:47:26.804Z,1,3890.205,0.00597609561752988,4029.135,-0.013056845074991486,704.8199999999997
688fd8eea44632e5770d6838,2017-08-23 00:00:00,4040.00000000,4265.80000000,4013.89000000,4114.01000000,1001.13656500,2017-08-23 23:59:59,BTCUSDT,2025-08-06T20:51:10.543Z,2025-08-03T21:47:26.804Z,1,4108.425,0.018319306930693124,3890.205,0.00597609561752988,251.9100000000003
688fd8eea44632e5770d6839,2017-08-24 00:00:00,4147.00000000,4371.68000000,4085.01000000,4316.01000000,787.41875300,2017-08-24 23:59:59,BTCUSDT,2025-08-06T20:51:10.544Z,2025-08-03T21:47:26.805Z,1,4229.925,0.04075476247890046,4108.425,0.018319306930693124,286.6700000000001
688fd8eea44632e5770d683a,2017-08-25 00:00:00,4316.01000000,4453.91000000,4247.48000000,4280.68000000,573.61274000,2017-08-25 23:59:59,BTCUSDT,2025-08-06T20:51:10.545Z,2025-08-03T21:47:26.805Z,-1,4324.52,-0.008185801237717226,4229.925,0.04075476247890046,206.4300000000003
688fd8eea44632e5770d683b,2017-08-26 00:00:00,4280.71000000,4367.00000000,4212.41000000,4337.44000000,228.10806800,2017-08-26 23:59:59,BTCUSDT,2025-08-06T20:51:10.546Z,2025-08-03T21:47:26.806Z,-1,4299.389999999999,0.013252474472692512,4324.52,-0.008185801237717226,154.59000000000015
688fd8eea44632e5770d683c,2017-08-27 00:00:00,4332.51000000,4400.00000000,4285.54000000,4310.01000000,350.69258500,2017-08-27 23:59:59,BTCUSDT,2025-08-06T20:51:10.547Z,2025-08-03T21:47:26.807Z,1,4332.015,-0.005193294418247159,4299.389999999999,0.013252474472692512,114.46000000000004
